"Content type";"Record Number";Acronym;Title;ID;Teaser;Programme;"Start date";"End date";Language;"Available languages";"Last updated";URL
project;105471;WatERP;"Water Enhanced Resource Planning ""Where water supply meets demand""";318603;"Water supply involves many actors. While many management tools exist, they cannot intercommunicate and no framework is available for integrating all of them, preventing integrated water resources management to be fully achieved. WatERP will develop a web-based Open Management...";FP7-ICT;2012-10-01;2015-09-30;en;en;"2016-04-08 19:25:47";http://cordis.europa.eu/project/rcn/105471_en.html
project;100870;uRALP;"Micro-Technologies and Systems for Robot-Assisted Laser Phonomicrosurgery";288663;"Lasers form an increasingly common tool for precision treatment of pathological conditions on delicate and vital human organs. Laser phonomicrosurgery, which is a suite of complex otolaryngological surgical techniques for the treatment of minute abnormalities in the larynx, i...";FP7-ICT;2012-01-16;2015-03-31;en;en;"2016-04-09 05:50:32";http://cordis.europa.eu/project/rcn/100870_en.html
project;102157;ROBOHOW.COG;"Web-enabled and Experience-based Cognitive Robots that Learn Complex Everyday Manipulation Tasks";288533;"Enabling robots to competently perform everyday manipulation activities such as household chores exceeds, in terms of task,activity, behavior and context complexity, anything that we have so far investigated in motion planning, cognitive robotics, autonomous robot control and...";FP7-ICT;2012-02-01;2016-07-31;en;en;"2016-04-19 18:01:15";http://cordis.europa.eu/project/rcn/102157_en.html
project;85354;PROTAGE;"PReservation Organizations using Tools in AGent Environments";216746;"The aim of the project is to investigate and initiate complementary new approaches to digital preservation. <br/>The rapidly growing volume of digital information is causing data transfer from active IT systems to digital repositories at an increasing pace. This makes it nece...";FP7-ICT;2007-11-01;2010-10-31;en;en;"2016-04-01 20:11:57";http://cordis.europa.eu/project/rcn/85354_en.html
project;95595;ImREAL;"Immersive Reflective Experience-based Adaptive Learning";257831;"The popularity of immersive simulated environments for experiential learning is growing; they will be part of tomorrow's learning technologies in the key area of adult training. The major challenge is to effectively align the learning experience in the simulated environment w...";FP7-ICT;2010-10-01;2013-09-30;en;en;"2016-04-01 23:19:14";http://cordis.europa.eu/project/rcn/95595_en.html
project;85397;ArtistDesign;"ArtistDesign – Design for Embedded Systems";214373;"The ArtistDesign NoE is the visible result of the ongoing integration of a community, that emerged through the Artist FP5 Accompanying Measure and that was organised through the Artist2 FP6 NoE.The central objective for ArtistDesign is to build on existing structures and link...";FP7-ICT;2008-01-01;2012-03-31;en;en;"2016-04-08 18:03:53";http://cordis.europa.eu/project/rcn/85397_en.html
project;105920;EFFINET;"Efficient Integrated Real-time Monitoring and Control of Drinking Water Networks";318556;"This project addresses three main management problems in urban water system: optimal operational control, real-time monitoring and demand forecasting/management. Real-time optimal control deals with operating the main flow and pressure actuators to meet demands using the most...";FP7-ICT;2012-10-01;2015-09-30;en;en;"2016-04-01 22:57:43";http://cordis.europa.eu/project/rcn/105920_en.html
project;87374;SmartHouse/SmartGrid;"Smart Houses Interacting with Smart Grids to achieve next-generation energy efficiency and sustainability";224628;"Current smart house/energy technologies treat home and working environments as effectively consisting of isolated and passive individual units. This severely limits achieved energy efficiency, as it ignores the potential delivered by homes, offices, and commercial buildings s...";FP7-ICT;2008-09-01;2011-08-31;en;en;"2016-04-01 22:11:22";http://cordis.europa.eu/project/rcn/87374_en.html
project;85480;AMAzOLED;"Active Matrix of Any Shape with Organic Light Emitting Diodes displays";216815;"The target of project is to develop a highly reliable high brightness conformable low cost up scalable display for demanding applications such as their use in cars, aircraft or extreme sports applications. For the time being, in these applications, the LCD is the main display...";FP7-ICT;2008-01-01;2010-12-31;en;en;"2016-04-01 13:26:48";http://cordis.europa.eu/project/rcn/85480_en.html
project;106647;GHOST;"Generic and Highly Organic, Shape-changing inTerfaces";309191;"Current user interfaces for computers and mobile devices often separate input and output, are typically static in their physical appearance, and rarely tap humans' ability to reason about and manipulate physical objects. We propose a new paradigm of interfaces that address th...";FP7-ICT;2013-01-01;2016-06-30;en;en;"2016-04-01 22:09:34";http://cordis.europa.eu/project/rcn/106647_en.html
